# Baseline Results (Up to date)
# 597 data points written for 58 variables.
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
72.755,239.164,239.164,-5.892,6.167,0.005,0.199,-100.367,0.003,100.367,270.002,1.82,0.199,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.197,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.94,90,13.445,985.2,0.001,339.447,0.017,4.868e5,6.604,34.253,0.301,0.052,7.998e-4
73.056,237.391,237.391,-5.891,6.184,0.02,0.638,-100.924,0.003,100.924,270.002,1.88,0.638,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.218,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.497,90,13.457,985.408,0.001,339.454,0.017,4.877e5,6.604,34.253,0.301,0.052,8.025e-4
73.357,235.62,235.62,-5.885,6.122,-0.014,0.301,-101.461,0.003,101.461,270.002,1.688,0.301,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.186,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.869,90,13.468,985.616,0.001,339.461,0.017,4.865e5,6.604,34.253,0.301,0.052,7.927e-4
73.658,233.848,233.848,-5.889,6.152,0.01,0.5,-101.983,0.003,101.983,270.002,1.779,0.5,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.207,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.079,90,13.48,985.824,0.001,339.468,0.017,4.873e5,6.604,34.253,0.301,0.052,7.974e-4
73.959,232.076,232.076,-5.886,6.194,-0.008,0.26,-102.54,0.003,102.54,270.002,1.929,0.26,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.19,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.086,90,13.492,986.031,0.001,339.475,0.017,4.867e5,6.604,34.253,0.301,0.053,8.044e-4
74.259,230.305,230.305,-5.888,6.221,-0.002,0.042,-103.132,0.003,103.132,270.002,2.007,0.042,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.191,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.982,90,13.503,986.239,0.001,339.482,0.017,4.868e5,6.604,34.253,0.301,0.053,8.088e-4
74.56,228.534,228.534,-5.889,6.218,0.002,0.121,-103.734,0.003,103.734,270.002,1.995,0.121,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.922,90,13.515,986.447,0.001,339.489,0.017,4.869e5,6.604,34.253,0.301,0.053,8.082e-4
74.861,226.763,226.763,-5.888,6.205,0.013,0.487,-104.328,0.003,104.328,270.002,1.958,0.487,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.208,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.251,90,13.526,986.654,0.001,339.496,0.017,4.875e5,6.604,34.253,0.301,0.053,8.062e-4
75.162,224.993,224.993,-5.884,6.249,-0.009,0.153,-104.939,0.003,104.939,270.002,2.105,0.153,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.187,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.197,90,13.538,986.862,0.001,339.503,0.017,4.867e5,6.604,34.253,0.301,0.053,8.135e-4
75.462,223.223,223.223,-5.887,6.268,0.004,0.248,-105.579,0.003,105.579,270.002,2.15,0.248,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.197,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.002,90,13.549,987.07,0.001,339.51,0.017,4.871e5,6.604,34.253,0.301,0.053,8.164e-4
75.763,221.453,221.453,-5.886,6.241,-1.642e-4,0.161,-106.214,0.003,106.214,270.001,2.076,0.161,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.791,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.979,90,13.561,987.277,0.001,339.517,0.017,4.87e5,6.604,34.253,0.301,0.053,8.121e-4
76.064,219.684,219.684,-5.886,6.225,0.001,0.149,-106.831,0.003,106.831,270.001,2.027,0.149,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.938,90,13.572,987.485,0.001,339.524,0.017,4.87e5,6.604,34.253,0.301,0.053,8.095e-4
76.364,217.915,217.915,-5.886,6.211,0.001,0.103,-107.434,0.003,107.434,270.001,1.983,0.103,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.045,90,13.584,987.692,0.001,339.531,0.017,4.87e5,6.604,34.253,0.301,0.053,8.071e-4
76.665,216.146,216.146,-5.885,6.22,0.002,0.149,-108.034,0.003,108.034,270.001,2.014,0.149,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.104,90,13.595,987.9,0.001,339.538,0.017,4.871e5,6.604,34.253,0.301,0.053,8.087e-4
76.965,214.377,214.377,-5.885,6.234,5.495e-4,0.026,-108.646,0.003,108.646,270.001,2.058,0.026,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.043,90,13.607,988.107,0.001,339.544,0.017,4.871e5,6.604,34.253,0.3,0.053,8.11e-4
77.266,212.609,212.609,-5.884,6.232,0.002,0.027,-109.263,0.003,109.263,270.001,2.051,0.027,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.067,90,13.618,988.315,0.001,339.551,0.017,4.871e5,6.604,34.253,0.3,0.053,8.106e-4
77.566,210.841,210.841,-5.884,6.234,0.008,0.363,-109.881,0.003,109.881,270.001,2.059,0.363,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.202,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.841,90,13.63,988.522,0.001,339.558,0.017,4.875e5,6.604,34.253,0.3,0.053,8.11e-4
77.867,209.074,209.074,-5.881,6.196,-0.004,0.115,-110.483,0.003,110.483,270.001,1.95,0.115,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.19,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.881,90,13.641,988.729,0.001,339.565,0.017,4.87e5,6.604,34.253,0.3,0.053,8.049e-4
78.167,207.306,207.306,-5.883,6.187,9.941e-4,0.009,-111.064,0.003,111.064,270.001,1.915,0.009,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.921,90,13.653,988.936,0.001,339.572,0.017,4.872e5,6.604,34.253,0.3,0.053,8.033e-4
78.467,205.539,205.539,-5.882,6.187,0.005,0.251,-111.639,0.003,111.639,270.001,1.918,0.251,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.197,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.069,90,13.664,989.144,0.001,339.579,0.017,4.874e5,6.604,34.253,0.3,0.053,8.034e-4
78.768,203.773,203.773,-5.881,6.21,0.002,0.252,-112.227,0.002,112.227,270.001,1.993,0.252,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.195,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.842,90,13.675,989.351,0.001,339.586,0.017,4.873e5,6.604,34.253,0.3,0.053,8.071e-4
79.068,202.006,202.006,-5.881,6.185,-0.002,0.025,-112.814,0.002,112.814,270.001,1.918,0.025,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.191,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.933,90,13.687,989.558,0.001,339.593,0.017,4.872e5,6.604,34.253,0.3,0.053,8.032e-4
79.368,200.24,200.24,-5.881,6.188,0.007,0.334,-113.391,0.002,113.391,270.001,1.925,0.334,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.201,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.725,90,13.698,989.765,0.001,339.6,0.017,4.876e5,6.604,34.253,0.3,0.053,8.036e-4
79.669,198.475,198.475,-5.879,6.156,-0.001,0.234,-113.954,0.002,113.954,270.001,1.825,0.234,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.685,90,13.71,989.972,0.001,339.607,0.017,4.873e5,6.604,34.253,0.3,0.053,7.984e-4
79.969,196.709,196.709,-5.879,6.135,0.002,0.256,-114.492,0.002,114.492,270.001,1.755,0.256,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.196,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.909,90,13.721,990.179,0.001,339.614,0.017,4.874e5,6.604,34.253,0.3,0.053,7.95e-4
80.269,194.944,194.944,-5.879,6.157,-8.821e-4,0.126,-115.03,0.002,115.03,270.001,1.831,0.126,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.192,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.908,90,13.733,990.386,0.001,339.621,0.017,4.873e5,6.604,34.253,0.3,0.053,7.986e-4
80.57,193.179,193.179,-5.879,6.169,0.001,0.069,-115.586,0.002,115.586,270.001,1.869,0.069,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.911,90,13.744,990.593,0.001,339.628,0.017,4.874e5,6.604,34.253,0.3,0.053,8.005e-4
80.87,191.414,191.414,-5.878,6.175,0.002,0.094,-116.15,0.002,116.15,270.001,1.89,0.094,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.947,90,13.756,990.8,0.001,339.635,0.017,4.874e5,6.604,34.253,0.3,0.053,8.015e-4
81.17,189.65,189.65,-5.878,6.183,0.001,0.04,-116.721,0.002,116.721,270.001,1.918,0.04,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.895,90,13.767,991.007,0.001,339.642,0.017,4.874e5,6.604,34.253,0.3,0.053,8.029e-4
81.47,187.886,187.886,-5.878,6.179,0.007,0.319,-117.295,0.002,117.295,270.001,1.906,0.319,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.2,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.098,90,13.779,991.214,0.001,339.649,0.017,4.877e5,6.604,34.253,0.3,0.053,8.022e-4
81.77,186.122,186.122,-5.875,6.207,-0.004,0.02,-117.882,0.002,117.882,270.001,2.002,0.019,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.19,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.014,90,13.79,991.421,0.001,339.656,0.017,4.874e5,6.604,34.253,0.3,0.053,8.069e-4
82.07,184.359,184.359,-5.877,6.21,0.012,0.456,-118.483,0.002,118.483,270.001,2.008,0.456,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.207,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.735,90,13.802,991.628,0.001,339.663,0.017,4.881e5,6.604,34.253,0.3,0.053,8.074e-4
82.37,182.596,182.596,-5.873,6.164,-0.009,0.02,-119.065,0.002,119.065,270.001,1.871,0.018,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.187,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.882,90,13.813,991.835,0.001,339.67,0.017,4.873e5,6.604,34.253,0.3,0.053,7.999e-4
82.67,180.833,180.833,-5.876,6.168,0.002,0.09,-119.628,0.002,119.628,270.001,1.876,0.09,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.931,90,13.825,992.041,0.001,339.677,0.017,4.876e5,6.604,34.253,0.3,0.053,8.005e-4
82.97,179.07,179.07,-5.875,6.176,0.019,0.59,-120.195,0.002,120.195,270.001,1.903,0.59,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.216,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.257,90,13.836,992.248,0.001,339.684,0.017,4.885e5,6.604,34.253,0.3,0.054,8.018e-4
83.27,177.309,177.309,-5.869,6.227,-0.016,0.031,-120.792,0.002,120.792,270.001,2.08,0.026,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.182,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.097,90,13.847,992.455,0.001,339.69,0.017,4.872e5,6.604,34.253,0.3,0.054,8.104e-4
83.571,175.546,175.546,-5.874,6.234,0.006,0.28,-121.418,0.002,121.418,270.001,2.088,0.28,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.198,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.257,90,13.859,992.661,0.001,339.697,0.017,4.879e5,6.604,34.253,0.3,0.054,8.114e-4
83.871,173.785,173.785,-5.872,6.261,0.016,0.597,-122.057,0.002,122.057,270.001,2.172,0.597,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.214,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.815,90,13.87,992.868,0.001,339.704,0.017,4.885e5,6.604,34.253,0.3,0.054,8.159e-4
84.171,172.024,172.024,-5.868,6.197,-0.015,0.138,-122.681,0.002,122.681,270.001,1.993,0.137,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.183,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.076,90,13.882,993.074,0.001,339.711,0.017,4.873e5,6.604,34.253,0.3,0.054,8.055e-4
84.471,170.262,170.262,-5.872,6.215,0.004,0.262,-123.286,0.002,123.286,270.001,2.034,0.262,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.197,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.878,90,13.893,993.281,0.001,339.718,0.017,4.879e5,6.604,34.253,0.3,0.054,8.083e-4
84.77,168.501,168.501,-5.871,6.188,-0.002,0.042,-123.884,0.002,123.884,270.001,1.956,0.042,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.191,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.931,90,13.905,993.488,0.001,339.725,0.017,4.877e5,6.604,34.253,0.3,0.054,8.04e-4
85.07,166.741,166.741,-5.872,6.185,0.004,0.233,-124.469,0.002,124.469,270.001,1.943,0.233,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.197,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.804,90,13.916,993.694,0.001,339.732,0.017,4.879e5,6.604,34.253,0.3,0.054,8.034e-4
85.37,164.981,164.981,-5.87,6.162,0.001,0.205,-125.041,0.002,125.041,270.001,1.873,0.205,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.997,90,13.928,993.901,0.001,339.739,0.017,4.878e5,6.604,34.253,0.3,0.054,7.997e-4
85.67,163.221,163.221,-5.87,6.181,0.008,0.397,-125.612,0.002,125.612,270.001,1.935,0.397,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.202,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.173,90,13.939,994.107,0.001,339.746,0.017,4.882e5,6.604,34.253,0.3,0.054,8.028e-4
85.97,161.462,161.462,-5.868,6.217,-0.006,0.055,-126.209,0.002,126.209,270.001,2.054,0.055,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.189,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.087,90,13.95,994.313,0.001,339.753,0.017,4.877e5,6.604,34.253,0.3,0.054,8.088e-4
86.27,159.702,159.702,-5.87,6.224,0.002,0.117,-126.828,0.002,126.828,270.001,2.07,0.117,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.001,90,13.962,994.52,0.001,339.76,0.017,4.879e5,6.604,34.253,0.3,0.054,8.099e-4
86.569,157.943,157.943,-5.869,6.212,0.002,0.17,-127.443,0.002,127.443,270.001,2.035,0.17,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.195,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.934,90,13.973,994.726,0.001,339.767,0.017,4.88e5,6.604,34.253,0.3,0.054,8.079e-4
86.869,156.184,156.184,-5.868,6.195,1.9e-4,0.025,-128.045,0.002,128.045,270.001,1.984,0.025,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.193,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.97,90,13.985,994.932,0.001,339.774,0.017,4.879e5,6.604,34.253,0.3,0.054,8.051e-4
87.169,154.426,154.426,-5.868,6.192,0.017,0.555,-128.639,0.002,128.639,270.001,1.977,0.555,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.213,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.309,90,13.996,995.138,0.001,339.781,0.017,4.887e5,6.604,34.253,0.3,0.054,8.047e-4
87.468,152.669,152.669,-5.863,6.242,-5.861e-4,0.513,-129.256,0.002,129.256,270.001,2.143,0.513,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.201,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.451,90,14.008,995.345,0.001,339.788,0.017,4.883e5,6.604,34.253,0.3,0.054,8.131e-4
87.768,150.911,150.911,-5.863,6.297,-0.011,0.086,-129.922,0.002,129.922,270.001,2.297,0.086,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.185,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.246,90,14.019,995.551,0.001,339.794,0.017,4.877e5,6.604,34.253,0.3,0.054,8.22e-4
88.068,149.153,149.153,-5.867,6.291,0.002,0.081,-130.606,0.002,130.606,270.001,2.271,0.081,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.32,90,14.031,995.757,0.001,339.801,0.017,4.88e5,6.604,34.253,0.3,0.054,8.209e-4
88.367,147.395,147.395,-5.866,6.299,0.006,0.311,-131.29,0.002,131.29,270.001,2.296,0.311,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.199,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.11,90,14.042,995.963,0.001,339.808,0.017,4.883e5,6.604,34.253,0.3,0.054,8.223e-4
88.667,145.639,145.639,-5.864,6.264,0.023,0.722,-131.964,0.002,131.964,270.001,2.202,0.721,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.224,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.772,90,14.053,996.169,0.001,339.815,0.017,4.893e5,6.604,34.253,0.3,0.054,8.166e-4
88.966,143.883,143.883,-5.857,6.185,-0.02,0.311,-132.591,0.002,132.591,270.001,1.986,0.31,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.183,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.801,90,14.065,996.375,0.001,339.822,0.017,4.877e5,6.604,34.253,0.3,0.054,8.039e-4
89.266,142.126,142.126,-5.863,6.161,-2.75e-4,0.243,-133.173,0.002,133.173,270.001,1.893,0.243,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.194,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.748,90,14.076,996.581,0.001,339.829,0.017,4.882e5,6.604,34.253,0.3,0.054,7.999e-4
89.566,140.37,140.37,-5.863,6.139,-0.001,0.008,-133.729,0.002,133.729,270.001,1.82,0.007,28.61,-80.601,NaN,NaN,NaN,NaN,62.306,89.978,632.429,107.52,0.102,7.743e-4,9.792,0,77.987,-11.809,0,0,6.192,86.982,0,86.982,0,86.982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.825,90,14.088,996.787,0.001,339.836,0.017,4.881e5,6.604,34.253,0.299,0.054,7.963e-4
